code,kind,price,comment,score,city,foundation,area,room,capacity,double_bed,single_bed,iranian_bed,toilet,bath,water,water_cooler,refrigerator,closet,cooking,oven,furniture,dining_table,restaurant,green_space,lobby,elavator
85754,inn,۱۶۰۰۰۰ ,۲۷,۴.۷,اردبیل- اردبیل,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۲ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,True,False,False,False,False,False,False,False,False,False,False
85779,inn,۲۰۰۰۰۰ ,۲۲,۴.۸,اردبیل- اردبیل,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۳ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,True,False,False,False,False,False,False,False,False,False,False
85775,inn,۲۵۰۰۰۰ ,۲۱,۴.۸,اردبیل- اردبیل,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۴ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,True,False,False,False,False,False,False,False,False,False,False
331103,ecotourism,۱۱۰۰۰۰ ,جدید,,اردبیل- نمین,۱۲۰ متر زیربنا,۱۰۰۰ متر کل بنا,۰ اتاق,ظرفیت ۸ نفر,۲ تخت دو نفره,۱ تخت یک نفره,۳ رخت‌خواب سنتی,۲ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,False,False,False,False,False,False
331102,ecotourism,۲۴۰۰۰۰ ,جدید,,اردبیل- نمین,۱۲۰ متر زیربنا,۱۰۰۰ متر کل بنا,۱ اتاق,ظرفیت ۲ نفر,۳ تخت دو نفره,تخت یک نفره ندارد,۹ رخت‌خواب سنتی,۲ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,False,False,False,False,False,False
329207,ecotourism,۲۴۰۰۰۰ ,جدید,,اردبیل- خلخال,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت تا ۵ نفر (۳ نفر پایه + تا ۲ نفر اضافه),۱ تخت دو نفره,۱ تخت یک نفره,۲ رخت‌خواب سنتی,۱ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,True,False,False,False,False,False
329206,ecotourism,۲۲۵۰۰۰ ,۱,۳,اردبیل- خلخال,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت تا ۵ نفر (۳ نفر پایه + تا ۲ نفر اضافه),۱ تخت دو نفره,۱ تخت یک نفره,۲ رخت‌خواب سنتی,۱ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,True,False,False,False,False,False
93549,complex,۴۸۰۰۰۰ ,۸,۳,اردبیل- سرعین,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۹ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,False,False,False,False,False,False,False,False,False,False,False
108984,apartment,۶۰۰۰۰۰ ,جدید,,اردبیل- سرعین,۷۵ متر زیربنا,۷۵ متر کل بنا,۲ اتاق,ظرفیت تا ۶ نفر (۵ نفر پایه + تا ۱ نفر اضافه),۱ تخت دو نفره,تخت یک نفره ندارد,۴ رخت‌خواب سنتی,۲ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,True,False,False,False,False,False
88391,ecotourism,۳۴۰۰۰۰ ,۴,۳.۷,اردبیل- خلخال,۶۰ متر زیربنا,۳۰۰۰ متر کل بنا,۱ اتاق,ظرفیت تا ۱۳ نفر (۳ نفر پایه + تا ۱۰ نفر اضافه),۱ تخت دو نفره,تخت یک نفره ندارد,۱۰ رخت‌خواب سنتی,۱ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,True,False,False,False,False,False
88376,ecotourism,۲۴۰۰۰۰ ,۵,۳.۹,اردبیل- خلخال,۲۵ متر زیربنا,۳۰۰۰ متر کل بنا,۰ اتاق,ظرفیت تا ۵ نفر (۳ نفر پایه + تا ۲ نفر اضافه),۱ تخت دو نفره,۱ تخت یک نفره,۲ رخت‌خواب سنتی,۱ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,True,False,False,False,False,False
332256,apartment,۲۰۰۰۰۰ ,جدید,,اردبیل- سرعین,۸۵ متر زیربنا,۱۴۰ متر کل بنا,۲ اتاق,ظرفیت تا ۸ نفر (۴ نفر پایه + تا ۴ نفر اضافه),۱ تخت دو نفره,۸ تخت یک نفره,۱ رخت‌خواب سنتی,۲ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,False,False,False,False,False,False
93564,complex,۲۸۰۰۰۰ ,۷,۳,اردبیل- سرعین,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۲ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,False,False,False,False,False,False,False,False,False,False,False
93545,complex,۳۰۰۰۰۰ ,۷,۳,اردبیل- سرعین,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۶ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,False,False,False,False,False,False,False,False,False,False,False
331660,suite,۳۰۰۰۰۰ ,جدید,,اردبیل- مشگین شهر,۱۰۰ متر زیربنا,۱۲۰ متر کل بنا,۱ اتاق,ظرفیت تا ۱۰ نفر (۷ نفر پایه + تا ۳ نفر اضافه),تخت دو نفره ندارد,تخت یک نفره ندارد,۷ رخت‌خواب سنتی,۱ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,True,False,False,False,False,False
93552,complex,۲۸۰۰۰۰ ,۹,۳.۳,اردبیل- سرعین,۰ متر زیربنا,۰ متر کل بنا,۰ اتاق,ظرفیت ۵ نفر,تخت دو نفره ندارد,تخت یک نفره ندارد,رخت‌خواب سنتی ندارد,سرویس بهداشتی (ایرانی، فرنگی) ندارد,حمام ندارد,True,False,False,False,False,False,False,False,False,False,False,False
87617,complex,۱۶۰۰۰۰ ,جدید,,اردبیل- سرعین,۷۵ متر زیربنا,۱۴۰ متر کل بنا,۲ اتاق,ظرفیت تا ۱۰ نفر (۸ نفر پایه + تا ۲ نفر اضافه),۲ تخت دو نفره,۴ تخت یک نفره,۲ رخت‌خواب سنتی,۱ سرویس بهداشتی (ایرانی، فرنگی),۱ حمام,True,False,False,False,False,False,False,False,False,False,False,False
